id,canonical_name,country_iso,country_tier,country_tier_label,trl_level,trl_band,trl_evidence,trl_confidence,trl_source_url,trl_history_count,subsystem_count,primary_approach,all_approaches,tech_tree_node_count,tech_tree_primary_node,tech_tree_primary_method,tech_tree_primary_confidence,tech_tree_primary_reasoning,tech_tree_primary_source_url,tech_tree_all_nodes,tech_tree_all_methods,tech_tree_all_confidences,tech_tree_all_reasonings,tech_tree_all_source_urls,tech_tree_product_clusters,vc_funding_stage,vc_funding_stage_reasoning,foreign_ownership_flag,foreign_ownership_flag_reasoning,key_investors,key_investors_count,role_in_supply_chain,role_in_supply_chain_confidence,role_in_supply_chain_reasoning,role_in_supply_chain_source_url,regulatory_risk_score,regulatory_risk_score_confidence,regulatory_risk_score_reasoning,regulatory_risk_score_source_url,export_control_exposure,export_control_exposure_confidence,export_control_exposure_reasoning,customer_count_band,customer_count_band_reasoning,current_capacity,current_capacity_reasoning,manufacturing_countries,manufacturing_countries_reasoning,critical_material_deps,sole_source_dependency,critical_material_deps_reasoning,financial_risk_score,financial_risk_label,financial_risk_summary,commercial_risk_score,commercial_risk_label,commercial_risk_summary,manufacturing_risk_score,manufacturing_risk_label,manufacturing_risk_summary,geopolitical_risk_score,geopolitical_risk_label,geopolitical_risk_summary,founded_year,headcount_range,funding_total_usd,domain,linkedin_url,linkedin_industry,linkedin_headquarters,linkedin_specialties,linkedin_company_size_text,has_ownership_chain,ownership_top_shareholders,effective_country_tier,tier_shift,description,source,source_url,discovered_via,confidence,last_seen_at
shine-technologies,SHINE Technologies,US,1,aligned,6,prototype,Accelerator-driven D-T neutron source operating commercially for medical isotopes; not net-energy fusion but mature subsystem technology,0.85,https://shinefusion.com/news,0,0,supplier.fuel_cycle,supplier.fuel_cycle,2,tech_tritium_breeding,deterministic,0.75,approach tag 'supplier.fuel_cycle': Fusion fuel-cycle supplier — DT fuel cycle is the breeding-blanket / tritium-handling complex.,https://www.fusionindustryassociation.org/members,tech_tritium_breeding|tech_pfm,deterministic|deterministic,0.75|0.65,approach tag 'supplier.fuel_cycle': Fusion fuel-cycle supplier — DT fuel cycle is the breeding-blanket / tritium-handling complex.|description match 'materials irradiation/neutron source/fusion[-\s]materials': Description references materials-irradiation / fusion-materials work — PFM enabling-tech adjacent.,https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Linear accelerator fusion-neutron source operator; medical-isotope production.,https://www.fusionindustryassociation.org/members,0.75,0.75,Tritium pathway and medical-isotope nuclear licensing.,https://www.fusionindustryassociation.org/members,High,0.7,Accelerator + isotope handling export-sensitive.,1-5,Medical-isotope customers in commercial scope.,Pilot Line,Operational isotope production facility.,US:manufacturing,US-based isotope production facility.,Tritium,False,Tritium-breeding linked tech tree.,0.5,medium,"Stage Unknown, funding None, investors 0, customers 1-5. Mixed signals; medium burn risk pending further disclosure.",0.4,medium,"Capacity Pilot Line, customer band 1-5, TRL 6, role Operator. Mixed signals on commercial readiness.",0.67,high,"Capacity Pilot Line, 1 critical materials (Tritium), 0 sole-sourced, reg-score 0.75. Manufacturing in 1 country(ies). High concentration risk.",0.55,medium,"HQ US (tier 1), foreign ownership None, manufacturing in ['US'], export-control High. Tier-1 base with elevated export-control / cross-border factors.",2010,201-500,,shinefusion.com,https://www.linkedin.com/company/shine-technologies,Staffing and Recruiting,Chennai,,51-200 employees,False,,,False,"Linear accelerator fusion-neutron source; medical isotopes today, fusion-energy pathway.",fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-11T14:52:49+00:00
asg-superconductors,ASG Superconductors,IT,1,aligned,5,subsystem_demo,Wound ITER toroidal-field coils for Fusion for Energy,0.85,https://www.f4e.europa.eu/,0,0,supplier.magnets_superconducting,supplier.magnets_superconducting,3,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.iter.org/proc/overview,concept_lts_tokamak|milestone_iter_construction|tech_hts_magnets,deterministic|deterministic|deterministic,0.70|0.80|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.|approach tag 'supplier.magnets_superconducting': Superconducting-magnet supplier tag maps to HTS magnets enabling-tech node.,https://www.iter.org/proc/overview|https://www.iter.org/proc/overview|https://www.iter.org/proc/overview,||,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Malacalza Investimenti (IT) | Nidec Corporation (JP),2,Component Manufacturer,0.9,ITER supplier producing TF coil winding packs for F4E,https://www.iter.org/proc/overview,0.75,0.75,ITER conductor qualification; full nuclear qualification path,https://www.iter.org/proc/overview,High,0.8,Superconducting magnets are dual-use export-controlled items,1-5,Specialised supplier serving ITER/F4E and a few fusion/HEP customers,Commercial Factory,Established Genoa superconductor production facility,IT:manufacturing,Italian TF-coil winding production facility,Nb3Sn / NbTi superconductor,False,TF-coil winding requires LTS superconductor strand,0.15,low,"Established commercial supplier / integrator with existing revenue (20+ or 1-5 customers, Commercial Factory capacity); no VC runway concern.",0.3,medium,Commercial Factory scale Component Manufacturer with 1-5 customers; revenue exists but buyer concentration limits diversification.,0.65,high,Single-country (IT) Component Manufacturer of Nb3Sn/NbTi superconductors — a strategic critical material with global supply tightness despite no sole-source flag.,0.45,medium,IT HQ tier-1 with Japanese (Nidec) majority ownership; High export-control exposure on superconductors but no tier-3 entanglement.,2001,,,as-g.it,,,,,,True,"Malacalza Investimenti (IT, 66.0%) | Nidec Corporation (JP, 34.0%)",1,False,ITER supplier — toroidal-field-coil winding for Fusion for Energy.,iter_supplier,https://www.iter.org/proc/overview,,0.8,2026-05-11T14:52:49+00:00
asipp,"ASIPP — Institute of Plasma Physics, CAS",CN,3,restricted,5,subsystem_demo,EAST tokamak achieved 403-second 120 million K plasma (2023); BEST device under construction,0.85,http://english.ipp.cas.cn/,3,4,magnetic_confinement.tokamak,magnetic_confinement.tokamak|supplier.magnets_superconducting,4,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.iter.org/proc/overview,concept_lts_tokamak|milestone_iter_construction|tech_hts_magnets|concept_hts_tokamak,deterministic|deterministic|deterministic|deterministic,0.70|0.80|0.80|0.60,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.|approach tag 'supplier.magnets_superconducting': Superconducting-magnet supplier tag maps to HTS magnets enabling-tech node.|Tokamak + superconducting-magnet co-tags BUT ITER-era supplier signature — tag HTS speculatively at reduced confidence; LTS default retained.,https://www.iter.org/proc/overview|https://www.iter.org/proc/overview|https://www.iter.org/proc/overview|https://www.iter.org/proc/overview,|||,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.9,EAST tokamak operator; also ITER conductor supplier.,https://www.iter.org/proc/overview,0.7,0.7,"Operates tokamak with tritium handling potential, ITER conductor qualification.",https://www.iter.org/proc/overview,High,0.75,HTS/LTS conductors and plasma technology export-sensitive (China).,1-5,Supplies ITER conductors; primarily research institute.,Pilot Line,Research institute with conductor fab capability.,CN:manufacturing,ITER conductor supplier from China; EAST in China.,Nb3Sn / NbTi superconductor,False,ITER conductors use Nb3Sn/NbTi LTS.,0.12,low,National lab / university / open-source project funded by government appropriations or institutional budgets rather than VC. Not exposed to commercial burn-rate risk.,0.12,low,Not a commercial entity (national lab / university / open-source project); commercial traction is not the relevant metric. Mission is research/public-goods delivery.,0.15,low,Academic / national lab — no commercial production scaling required. Role Operator.,0.75,high,"HQ CN (tier 3), foreign ownership None, manufacturing in ['CN'], export-control High. Tier-3 exposure dominates.",1978,,,ipp.cas.cn,,,,,,False,,,False,EAST tokamak operator; ITER conductor supplier; broad fusion-engineering capability.,iter_supplier,https://www.iter.org/proc/overview,,0.7,2026-05-11T14:52:49+00:00
cea-cadarache,CEA Cadarache (IRFM),FR,1,aligned,5,subsystem_demo,ITER host site (under construction); WEST tokamak operating; Tore Supra heritage (8-minute plasma 2003).,0.9,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,0,3,,,2,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.70|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx|https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.95,ITER host site; operates WEST tokamak,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,0.8,0.8,Full national nuclear research center handling tritium and ITER programme,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,High,0.8,French national nuclear research center; export controls apply broadly,0,"National lab, not selling commercial products",Pilot Line,Operates WEST tokamak; ITER hosting role,FR:manufacturing,Cadarache hosts ITER and operates WEST tokamak in France,Tritium,False,Tritium handling at Cadarache for tokamak operations,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.55,medium,Government lab Operator at Pilot Line handling sensitive materials (Tritium); regulated supply but no commercial-scale bottleneck.,0.4,medium,Tier-1 HQ (FR) with high export-control exposure; no tier-3 entanglement.,1959,,,cea.fr,,,,,,False,,,False,ITER host site; WEST tokamak operations; Tore Supra heritage.,manual,https://www.cea.fr/english/Pages/research-areas/new-energies/iter-international-thermonuclear-experimental-reactor.aspx,,0.9,2026-05-11 18:47:39
commonwealth-fusion-systems,Commonwealth Fusion Systems,US,1,aligned,5,subsystem_demo,VIPER HTS cable 20T demonstration (2021); SPARC under construction (target first plasma 2026),0.9,https://news.mit.edu/2021/MIT-CFS-fusion-magnet-test-0908,4,6,magnetic_confinement.tokamak,magnetic_confinement.tokamak|supplier.magnets_superconducting,5,concept_hts_tokamak,deterministic,0.85,Tokamak + superconducting-magnet supplier co-tags: strong HTS-tokamak signal (CFS/Energy-Singularity pattern).,https://www.fusionindustryassociation.org/members,concept_hts_tokamak|milestone_sparc_net_energy|tech_hts_magnets|concept_lts_tokamak|milestone_hts_magnet_demo,deterministic|deterministic|deterministic|deterministic|manual_gap_fill,0.85|0.85|0.80|0.55|0.95,Tokamak + superconducting-magnet supplier co-tags: strong HTS-tokamak signal (CFS/Energy-Singularity pattern).|description match '\bSPARC\b': Description mentions SPARC — assigning to SPARC net-energy milestone.|approach tag 'supplier.magnets_superconducting': Superconducting-magnet supplier tag maps to HTS magnets enabling-tech node.|description match '\btokamak\b/\bspherical tokamak\b/\bNSTX\b/\bJET\b/\bWEST\b/\bEAST\b/\bKSTAR\b/\bJT-?60\b/\bDIII-?D\b/\bMAST\b/\bASDEX\b': Description references tokamak / a flagship tokamak devic…|CFS and MIT demonstrated a large-bore 20 T HTS magnet relevant to this milestone.,https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members|https://www.cfs.energy/news-and-media/cfs-commercial-fusion-power-with-hts-magnet/,HTS magnets,Series C+,Total raised >$100M — Series C or later indicative.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Bill Gates (US) | Breakthrough Energy Ventures (US) | Eni (IT) | Khosla Ventures (US) | Temasek (SG) | Tiger Global (US),6,Operator,0.95,Develops SPARC tokamak end-to-end as concept developer.,https://www.fusionindustryassociation.org/members,0.8,0.85,HTS magnets + DT fusion concept; tritium handling and NRC pathway.,https://www.fusionindustryassociation.org/members,High,0.85,Industrial-scale HTS magnets; tritium handling; advanced fusion tech.,0,Pre-commercial; SPARC under construction; some offtake (Google) but unclear count.,Pilot Line,Magnet fab and SPARC construction ongoing.,US:manufacturing,SPARC under construction in Massachusetts US.,REBCO | Tritium,False,REBCO HTS magnets explicitly named. | DT tokamak requires tritium.,0.3,medium,"Series C+ with 3863000000 USD total raised, strong investor syndicate (6). Adequate runway to push to demonstration; medium burn risk.",0.75,high,"Capacity Pilot Line, customer band 0, TRL 5, role Operator. Low TRL and pre-revenue.",0.76,high,"Capacity Pilot Line, 2 critical materials (REBCO, Tritium), 0 sole-sourced, reg-score 0.8. Manufacturing in 1 country(ies). High concentration risk.",0.55,medium,"HQ US (tier 1), foreign ownership True, manufacturing in ['US'], export-control High. Tier-1 base with elevated export-control / cross-border factors.",2018,501-1000,3863000000,cfs.energy,https://www.linkedin.com/company/commonwealth-fusion-systems,Energy Technology,"Devens, Massachusetts",,"501-1,000 employees",True,Breakthrough Energy Ventures (US) | Eni (IT) | Bill Gates (US) | Khosla Ventures (US) | Temasek (SG),1,False,MIT-spun high-field tokamak using REBCO HTS magnets; SPARC under construction.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-18T14:33:00+00:00
framatome,Framatome,FR,1,aligned,5,subsystem_demo,ITER first-wall and divertor components in fabrication; supplier scale demonstrated,0.8,https://www.iter.org/,0,0,supplier.materials_first_wall,supplier.materials_first_wall,4,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.iter.org/proc/overview,concept_lts_tokamak|tech_pfm|milestone_iter_construction|tech_divertor_concepts,deterministic|deterministic|deterministic|deterministic,0.70|0.90|0.80|0.70,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|approach tag 'supplier.materials_first_wall': First-wall materials supplier tag maps directly to plasma-facing-materials node.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.|description match 'divertor': Description references divertor work — advanced-divertor enabling-tech.,https://www.iter.org/proc/overview|https://www.iter.org/proc/overview|https://www.iter.org/proc/overview|https://www.iter.org/proc/overview,|||,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Assystem (FR) | EDF (Électricité de France) (FR) | Mitsubishi Heavy Industries (JP),3,Component Manufacturer,0.8,ITER supplier of first-wall and divertor components per description,https://www.iter.org/proc/overview,0.85,0.75,Nuclear vendor with first-wall/divertor + tungsten-bearing PFCs and existing fission business,https://www.iter.org/proc/overview,High,0.75,Nuclear-grade components and ITER-class supply chain are export-controlled,20+,Major global nuclear vendor with broad utility customer base,Commercial Factory,Multinational industrial nuclear manufacturer,FR:manufacturing,French nuclear OEM; ITER first-wall/divertor work tied to French facilities,Beryllium | Tungsten,False,ITER first-wall historically uses beryllium armor | First-wall/divertor PFCs typically use tungsten,0.1,low,Established French nuclear systems supplier (1958) majority-owned by EDF; 20+ customers and existing commercial factory production. Financially stable parent.,0.15,low,Established supplier with 20+ customers and Commercial Factory capacity demonstrates proven commercial traction in Component Manufacturer role.,0.6,high,"Manufacturer depends on critical fusion materials (Beryllium, Tungsten) but with diversified sourcing and Commercial Factory capacity; supply tightness possible but not single-point-failure.",0.55,high,Tier-1 HQ (FR) but High export-control exposure plus foreign-ownership flag elevates ITAR / EAR scrutiny. Investor mix may also trigger CFIUS-style review.,1958,10001+,,framatome.com,https://www.linkedin.com/company/framatome,Utilities,Courbevoie,,"10,001+ employees",True,"EDF (Électricité de France) (FR, 75.5%) | Mitsubishi Heavy Industries (JP, 19.5%) | Assystem (FR, 5.0%)",1,False,ITER supplier — first-wall and divertor components.,iter_supplier,https://www.iter.org/proc/overview,,0.7,2026-05-11T14:52:49+00:00
f4e,Fusion for Energy (F4E),ES,1,aligned,5,subsystem_demo,EU domestic agency for ITER; coordinates ASG/Iberdrola/Vacuumschmelze and others on TF-coil and central-solenoid procurement.,0.9,https://fusionforenergy.europa.eu/,0,0,,,2,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://fusionforenergy.europa.eu/,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.70|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.,https://fusionforenergy.europa.eu/|https://fusionforenergy.europa.eu/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,System Integrator,0.7,EU domestic agency coordinating European procurement for ITER.,https://fusionforenergy.europa.eu/,0.65,0.65,Coordinates nuclear procurement for ITER.,https://fusionforenergy.europa.eu/,Medium,0.6,Coordinates controlled-tech procurement.,1-5,Serves ITER and partner agencies.,Unknown,"Agency, not a factory.",,,,False,,0.12,low,National lab / university / open-source project funded by government appropriations or institutional budgets rather than VC. Not exposed to commercial burn-rate risk.,0.12,low,Not a commercial entity (national lab / university / open-source project); commercial traction is not the relevant metric. Mission is research/public-goods delivery.,0.15,low,Academic / national lab — no commercial production scaling required. Role System Integrator.,0.2,low,"HQ ES (tier 1), foreign ownership None, manufacturing in n/a, export-control Medium. Tier-1 base with limited export-control / cross-border factors.",2007,201-500,,fusionforenergy.europa.eu,https://www.linkedin.com/company/fusion-for-energy,Research Services,"Barcelona, Catalonia","Fusion, Procurements, research, energy, industry, government, europe, green, nuclear, inge, and engineering",201-500 employees,False,,,False,EU domestic agency for ITER; coordinates European industrial procurement.,manual,https://fusionforenergy.europa.eu/,,0.9,2026-05-11 19:03:57
helion-energy,Helion Energy,US,1,aligned,5,subsystem_demo,Trenta (6th-gen) demonstrated 100 million K and pulsed-FRC repetition rate; Polaris (7th-gen) under construction with grid-electricity demonstration target,0.8,https://www.helionenergy.com/news/,4,3,magnetic_confinement.field_reversed,magnetic_confinement.field_reversed,2,concept_frc,deterministic,0.95,approach tag 'magnetic_confinement.field_reversed': Field-reversed configuration approach tag maps directly to FRC concept node.,https://www.fusionindustryassociation.org/members,concept_frc|milestone_frc_net_energy,deterministic|manual_gap_fill,0.95|0.75,approach tag 'magnetic_confinement.field_reversed': Field-reversed configuration approach tag maps directly to FRC concept node.|Helion Polaris is a company-level proxy for FRC net-electricity demonstration.,https://www.fusionindustryassociation.org/members|https://www.helionenergy.com/polaris/,FRC net energy,Series C+,Total raised >$100M — Series C or later indicative.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Capricorn Investment Group (US) | Dustin Moskovitz (US) | Lightspeed Venture Partners (US) | Mithril Capital (US) | Sam Altman (US) | SoftBank Vision Fund 2 (JP) | Y Combinator (US),7,Operator,0.95,FRC reactor developer end-to-end (Polaris generator).,https://www.fusionindustryassociation.org/members,0.7,0.75,D-He3 fuel cycle; He3 sourcing; some tritium produced.,https://www.fusionindustryassociation.org/members,High,0.75,Advanced FRC pulsed-power technology; He3 strategic material.,1-5,Microsoft offtake agreement; small named customer base.,Pilot Line,Polaris prototype under build.,US:manufacturing,US-based Polaris build.,Deuterium | Helium-3,False,D-He3 fuel. | D-He3 fuel cycle explicitly named.,0.3,medium,"Series C+ with 5400000000 USD total raised, strong investor syndicate (7). Adequate runway to push to demonstration; medium burn risk.",0.45,medium,"Capacity Pilot Line, customer band 1-5, TRL 5, role Operator. Mixed signals on commercial readiness.",0.74,high,"Capacity Pilot Line, 2 critical materials (Deuterium, Helium-3), 0 sole-sourced, reg-score 0.7. Manufacturing in 1 country(ies). High concentration risk.",0.55,medium,"HQ US (tier 1), foreign ownership True, manufacturing in ['US'], export-control High. Tier-1 base with elevated export-control / cross-border factors.",2013,201-500,5400000000,helionenergy.com,https://www.linkedin.com/company/helion-energy,Renewable Energy Power Generation,"Everett, Washington","Fusion Energy, High Voltage, Physics, Electrical Engineer, Mechanical Engineer, Scientist, Technician, R&D, Engineering, Environment, and Clean Energy",201-500 employees,True,Sam Altman (US) | Mithril Capital (US) | Dustin Moskovitz (US) | Capricorn Investment Group (US) | SoftBank Vision Fund 2 (JP),1,False,Pulsed FRC merging with deuterium-helium-3 fuel; direct electricity recovery.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-18T14:33:00+00:00
iter,ITER,FR,1,aligned,5,subsystem_demo,Under construction at Cadarache (FR); first plasma target mid-2030s; component delivery and assembly in progress 2026.,0.9,https://www.iter.org/,0,0,,,2,concept_lts_tokamak,deterministic,0.55,description match '\btokamak\b/\bspherical tokamak\b/\bNSTX\b/\bJET\b/\bWEST\b/\bEAST\b/\bKSTAR\b/\bJT-?60\b/\bDIII-?D\b/\bMAST\b/\bASDEX\b': Description references tokamak / a flagship tokamak devic…,https://www.iter.org/,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.55|0.65,description match '\btokamak\b/\bspherical tokamak\b/\bNSTX\b/\bJET\b/\bWEST\b/\bEAST\b/\bKSTAR\b/\bJT-?60\b/\bDIII-?D\b/\bMAST\b/\bASDEX\b': Description references tokamak / a flagship tokamak devic…|source signature 'iter\.org/iter_supplier': Source indicates ITER supplier / iter.org listing — assigning to ITER construction milestone.,https://www.iter.org/|https://www.iter.org/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.95,International fusion tokamak under construction at Cadarache,https://www.iter.org/,0.95,0.85,International nuclear megaproject — full nuclear regulatory qualification,https://www.iter.org/,High,0.8,ITER procurement spans many export-controlled technologies,0,Project under construction; no commercial customers,Pilot Line,Under construction — large research demonstrator,FR:assembly,"Tokamak assembled at Cadarache, France",Beryllium | Niobium-Tin | Tritium,False,Historically uses beryllium first wall armor | TF and CS coils use Nb3Sn superconductor | DT fusion device,0.15,low,"Government-funded national lab / university research entity; not VC-dependent. Operates on programmatic budgets, not commercial revenue. Financial sustainability tied to public funding rather than burn rate.",0.15,low,"Not a commercial entity — public research institution / open-source project; commercial market-traction risk is not applicable. Mission is research, not product sales.",0.7,high,"Critical materials (Beryllium, Niobium-Tin, Tritium) and one-of-a-kind assembly; complex global supply chain with documented delays. High but well-known manufacturing scale-up risk.",0.4,medium,Tier-1 HQ (FR) with High export-control exposure (typical for HTS magnets / tritium / ICF / laser tech); manageable via licensing but adds friction to international sales.,2007,1-10,,iter.org,https://www.linkedin.com/company/iter,Information Services,"Milano, Lombardia","Organizzazione eventi, formazione, editoria, new media, and consulenza",2-10 employees,False,,,False,International fusion tokamak under construction at Cadarache; first plasma target mid-2030s.,manual,https://www.iter.org/,,0.95,2026-05-11 18:49:01
kfe,Korea Institute of Fusion Energy,KR,1,aligned,5,subsystem_demo,KSTAR tokamak achieved 100 million K for 48 seconds (2024),0.9,https://kfe.re.kr/,0,0,magnetic_confinement.tokamak,magnetic_confinement.tokamak,2,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://kfe.re.kr,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.70|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.,https://kfe.re.kr|https://kfe.re.kr,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.95,KSTAR tokamak operator and ITER Korean Domestic Agency,https://kfe.re.kr,0.8,0.8,Operates superconducting tokamak; ITER components; full nuclear qualification path,https://kfe.re.kr,High,0.8,Korean Domestic Agency for ITER; significant export-control exposure,0,National research institute,Pilot Line,Operates KSTAR and produces ITER components,KR:manufacturing,Korean ITER Domestic Agency; operates KSTAR in Korea,Tritium,False,Tokamak operations imply tritium handling,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.55,medium,Government lab Operator at Pilot Line handling sensitive materials (Tritium); regulated supply but no commercial-scale bottleneck.,0.4,medium,Tier-1 HQ (KR) with high export-control exposure; no tier-3 entanglement.,2020,,,kfe.re.kr,,,,,,False,,,False,KSTAR tokamak operator; ITER Korean Domestic Agency.,manual,https://kfe.re.kr,,0.6,2026-05-11T14:52:49+00:00
